,Landmark,Error (mm)
339,eyeR,0.02921860515858884
340,eyeR,0.019004779731480397
341,eyeR,0.03393084851422893
342,eyeR,0.01301094951039508
343,eyeR,0.035791133679739746
344,eyeR,0.034359965003721724
345,eyeR,0.021488515122427138
346,eyeR,0.02997226318686955
347,eyeR,0.04528760537519102
348,eyeR,0.029490245046432967
349,eyeR,0.056660431309897945
350,eyeR,0.07073652879440664
351,eyeR,0.0352196164469576
352,eyeR,0.03003184304147941
353,eyeR,0.062278487210704565
354,eyeR,0.122172617638135
355,eyeR,0.006735398310764421
356,eyeR,0.02178982471607285
357,eyeR,0.047744658050023085
358,eyeR,0.03274007814876577
359,eyeR,0.11409585894552567
360,eyeR,0.09845946238875956
361,eyeR,0.047801607548186034
362,eyeR,0.04371591662538871
363,eyeR,0.1635604729824599
364,eyeR,0.05624651421098134
365,eyeR,0.06739416269626912
366,eyeR,0.04261710783891645
367,eyeR,0.6350679176881642
368,eyeR,0.038045056215051595
369,eyeR,0.02541660268393832
370,eyeR,0.07105119499236899
371,eyeR,0.03665821965274552
372,eyeR,0.05606821425798003
373,eyeR,0.09237167199753482
374,eyeR,0.07474447579115685
375,eyeR,0.0519153766371498
376,eyeR,0.01729821368596094
377,eyeR,0.03470120678018333
378,eyeR,0.029276912872174713
379,eyeR,0.044419246147244955
380,eyeR,0.02767071109728336
381,eyeR,0.00889648076815858
382,eyeR,0.03405415377630058
383,eyeR,0.021610619370246643
384,eyeR,0.044657677759364786
385,eyeR,0.046624296314321946
386,eyeR,0.0021620710206677997
387,eyeR,0.013737934830070105
388,eyeR,0.09299616661908663
389,eyeR,0.04262780632012645
390,eyeR,0.029073100147657568
391,eyeR,0.041572559543836624
392,eyeR,0.026172472846953655
393,eyeR,0.03138534879370943
394,eyeR,0.03728368844414227
395,eyeR,0.005601999337764197
396,eyeR,0.043706524133809384
397,eyeR,0.03632821768326482
398,eyeR,0.03071337789389923
399,eyeR,0.02354814952157237
400,eyeR,0.014077624354040488
401,eyeR,0.025900351535384284
402,eyeR,0.022332056238226542
403,eyeR,0.016285673170833913
404,eyeR,0.03277940966456727
405,eyeR,0.030263201327343777
406,eyeR,0.006900010828458035
407,eyeR,0.009210016348301044
408,eyeR,0.015474658723375948
409,eyeR,0.022174879090574053
410,eyeR,0.04848287742253482
411,eyeR,0.03334142796701967
412,eyeR,0.04922755964970574
413,eyeR,0.06167909490392985
414,eyeR,0.03332942129425804
415,eyeR,0.04136772336478512
416,eyeR,0.0743000639520355
417,eyeR,0.016128113410058004
418,eyeR,0.026177000460867014
419,eyeR,0.6850623019790207
420,eyeR,0.017694836179471957
421,eyeR,0.02019988229171826
422,eyeR,0.024448914253390838
423,eyeR,0.03415411374638919
424,eyeR,0.003929003799206061
425,eyeR,0.022502827310325105
426,eyeR,0.05950205901854853
427,eyeR,0.015657065776119885
428,eyeR,0.0061042876333799005
429,eyeR,0.03490141604656306
430,eyeR,0.0177498492236752
431,eyeR,0.019524684414601014
432,eyeR,0.04749237325392402
433,eyeR,0.021361566080135855
434,eyeR,0.0906974940189093
435,eyeR,0.018039887358573963
436,eyeR,0.052724135333638
437,eyeR,0.040373181653246354
438,eyeR,0.05850705416380895
439,eyeR,0.023926055558913816
440,eyeR,0.027706267012777355
441,eyeR,0.024071717648200538
442,eyeR,0.037695676240060774
443,eyeR,0.19694603692605783
444,eyeR,0.06467166975540203
445,eyeR,0.02039436643573525
446,eyeR,0.07296982509157988
447,eyeR,0.07879345133424373
448,eyeR,0.06947752756472582
449,eyeR,0.03753865998155289
450,eyeR,0.01834309704918156
451,eyeR,0.039076761060397966
452,eyeR,0.025453329483463086
453,eyeR,0.05714245696407552
454,eyeR,0.04921337076674018
455,eyeR,0.048803096986021484
456,eyeR,0.037383029240907736
457,eyeR,0.02007671618854323
458,eyeR,0.6023667583022081
459,eyeR,0.03156532836355403
460,eyeR,0.030915437142913605
461,eyeR,0.04802529237507306
462,eyeR,0.07237709831835361
463,eyeR,0.014851843844444391
464,eyeR,0.022871496403439495
465,eyeR,0.06351144826364832
466,eyeR,0.031706737068537626
467,eyeR,0.019426065841310056
468,eyeR,0.018817459944198738
469,eyeR,
470,eyeR,0.021908772212647656
471,thorax,0.0275577173743403
472,thorax,0.036659755294562564
473,thorax,0.061377972259256945
474,thorax,0.09289552589315411
475,thorax,0.03184632134038494
476,thorax,0.026678824845104997
477,thorax,0.036803739623482046
478,thorax,0.06345361077613375
479,thorax,0.04345061260819301
480,thorax,0.02304839650470357
481,thorax,0.06421638018254616
482,thorax,0.02531841589191285
483,thorax,0.02756229445981724
484,thorax,0.041440800750809775
485,thorax,0.031053425568271172
486,thorax,0.05919604299801164
487,thorax,0.04135116622534368
488,thorax,0.046480702467682114
489,thorax,0.04026989329378563
490,thorax,0.06565858582067424
491,thorax,0.06404986332577622
492,thorax,0.022390054156694147
493,thorax,0.014693808012104707
494,thorax,0.04473428997726916
495,thorax,0.01715663251378372
496,thorax,0.047095940723523376
497,thorax,0.065983525818685
498,thorax,0.0918685358758824
499,thorax,0.024594547041734704
500,thorax,0.08539557515593638
501,thorax,0.06672159671561535
502,thorax,0.0070159170803405
503,thorax,0.008398467558037937
504,thorax,0.026949412401143177
505,thorax,0.01828376616396399
506,thorax,0.047209296355143995
507,thorax,0.1377411598433873
508,thorax,0.05533666870606439
509,thorax,0.0586920993864874
510,thorax,0.004209490323492959
511,thorax,0.023143896964391907
512,thorax,0.04688430807439477
513,thorax,0.053072624472598535
514,thorax,0.05210064247416879
515,thorax,0.0024066854089294714
516,thorax,0.05226246244978335
517,thorax,0.035091477641568114
518,thorax,0.027093536921054432
519,thorax,0.0220907050190263
520,thorax,0.009260746257270747
521,thorax,0.05632645098853504
522,thorax,0.019414879575331404
523,thorax,0.16294045179838632
524,thorax,0.08723322108241513
525,thorax,0.022051840101017142
526,thorax,0.024481185988057354
527,thorax,0.012433214062987257
528,thorax,0.018306617846049457
529,thorax,0.03465110675791411
530,thorax,0.11211907637027758
531,thorax,0.12905046765220554
532,thorax,0.14387839166992522
533,thorax,0.034053854201109256
534,thorax,0.007926261427458675
535,thorax,0.02034473796821773
536,thorax,0.08392117982696967
537,thorax,0.01851875243077691
538,thorax,0.05649092147419147
539,thorax,0.03282716775917752
540,thorax,0.02152455027019954
541,thorax,0.010408333203297634
542,thorax,0.03917722752850286
543,thorax,0.02055704877173999
544,thorax,0.030126800501144316
545,thorax,0.023369346364307837
